time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,blend,action_norm,policy_raw
6.6000000000000005,-0.7063143,-0.2310915,0.0074129,0.5638261,141.0,3,0.9999999,0.9426515,1.7613306
6.65,-0.7121516,-0.0883278,0.0029652,0.2830051,96.0,3,0.9999999,0.6416512,0.7609754
6.7,-0.7355008,-1.5092643,0.0163084,1.4343065,143.0,3,0.9999999,0.9504939,1.8368709
6.75,-0.7588501,0.0995082,0.0074129,-0.2397354,-119.0,3,0.9999999,-0.7949065,-1.084621
6.8,-0.8113859,-0.294247,0.0103781,-0.2315778,-145.0,3,0.9999999,-0.9662091,-2.0318348
6.8500000000000005,-0.7821993,-0.4636043,0.0163084,0.1616195,-34.0,3,0.9999999,-0.2268857,-0.2309036
6.9,-0.7646874,-0.3975097,0.0400297,0.4897344,147.0,3,0.9999999,0.9799716,2.296843
6.95,-0.624592,1.6572146,0.0281691,-0.8142262,93.0,3,0.9999999,0.622939,0.7297935
7.0,-0.4669847,1.8155035,-0.0286033,-0.5563358,100.0,3,0.9999999,0.6657938,0.8031496
7.05,-0.4086116,0.139395,-0.0619738,0.5222109,51.0,3,0.9999999,0.3412357,0.3554905
7.1000000000000005,-0.4202862,-1.1311558,-0.0556175,0.8424546,16.0,3,0.9999999,0.1073049,0.1077196
7.15,-0.4669847,-1.8055263,0.0,1.1166042,86.0,3,0.9999999,0.5712732,0.6494107
7.2,-0.4494728,-0.1668639,0.0266865,0.1146971,137.0,3,0.9999999,0.9134832,1.5481708
7.25,-0.4669847,-0.4762389,0.0103781,0.3257555,118.0,3,0.9999999,0.7885148,1.0674927
7.3,-0.5311951,-1.8650823,-0.0079454,0.9409487,-50.0,3,0.9999999,-0.3360497,-0.3496327
7.3500000000000005,-0.5428697,-1.0809026,0.0340994,-0.0455631,-136.0,3,0.9999999,-0.9054888,-1.501888
7.4,-0.5778935,-0.1428787,0.0222387,-0.3885612,-96.0,3,0.9999999,-0.6407036,-0.7593664
7.45,-0.5603816,-0.2992851,0.0400297,0.3305313,147.0,3,0.9999999,0.9794958,2.2849826
7.5,-0.60708,-0.944424,0.0148258,0.0980124,-133.0,3,0.9999999,-0.8865394,-1.4055219
7.55,-0.6596158,-0.7372549,0.0281691,-0.4277138,-149.0,3,0.9999999,-0.9923307,-2.7799203
7.6000000000000005,-0.7880366,-1.0916414,0.0370646,-0.2979099,-149.0,3,0.9999999,-0.9937603,-2.8834285
7.65,-0.7821993,-0.3115381,0.0741291,-0.388031,-9.0,3,0.9999999,-0.0613072,-0.0613842
7.7,-0.8055485,-0.0801627,0.0578207,-0.4523554,-94.0,3,0.9999999,-0.6276058,-0.7374562
7.75,-0.7588501,0.9694356,0.0474426,-1.0199346,-135.0,3,0.9999999,-0.8973221,-1.4583009
7.8,-0.682965,1.5818871,0.0252039,-1.1668983,-134.0,3,0.9999999,-0.8951818,-1.447421
7.8500000000000005,-0.7355008,-0.4007153,-0.0063563,0.4084599,29.0,3,0.9999999,0.1929088,0.1953566
7.9,-0.6946397,-0.2932915,-0.0031781,0.2958574,35.0,3,0.9999999,0.2345204,0.2389676
7.95,-0.7238263,-0.6047583,0.0163084,0.1631806,-77.0,3,0.9999999,-0.5134311,-0.567378
8.0,-0.7413382,0.7725238,0.0207562,-0.7490595,-137.0,3,0.9999999,-0.916283,-1.56535
8.05,-0.6771278,-0.4571309,0.0133432,0.8320924,148.0,3,0.9999999,0.9894846,2.6213974
8.1,-0.6654531,-0.2135422,-0.0317814,-0.2755504,-149.0,3,0.9999999,-0.9911023,-2.7053213
8.15,-0.7121516,-0.6137594,0.0163084,0.1469384,-79.0,3,0.9999999,-0.5266705,-0.5855265
