time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,blend,action_norm,policy_raw
14.200000000000001,-0.5214816611138448,-8.649011643158122e-05,-1.0103730252453147e-07,1.8035970464902462e-06,-0.001212134957331053,3,0.9999999999999998,-4.7534704208016e-06,-4.753470420837402e-06
14.205,-0.5214820939937514,-8.651696841766032e-05,-9.243241594347751e-08,1.7871625657139845e-06,-0.0012102350592788805,3,0.9999999999999998,-4.746019840204845e-06,-4.7460198402404785e-06
14.21,-0.5214825269801273,-8.653688239945723e-05,-8.393104300452592e-08,1.7641189171690996e-06,-0.0012102350592788805,3,0.9999999999999998,-4.746019840204845e-06,-4.7460198402404785e-06
14.215,-0.5214829600205123,-8.655775813237732e-05,-7.559056225403538e-08,1.7463939884221347e-06,-0.0012045353651223614,3,0.9999999999999998,-4.723668098414574e-06,-4.723668098449707e-06
14.22,-0.5214833931235362,-8.65568083069368e-05,-6.737715452231896e-08,1.6994494118627301e-06,-0.0012102350592788805,3,0.9999999999999998,-4.746019840204845e-06,-4.7460198402404785e-06
14.225,-0.5214838263138948,-8.658054676824456e-05,-5.923375034910805e-08,1.6935915658766731e-06,-0.0012064352631745347,3,0.9999999999999998,-4.731118679011332e-06,-4.731118679046631e-06
14.23,-0.5214842595785142,-8.658981527309706e-05,-5.115986567716391e-08,1.670272519849192e-06,-0.0012083351612267076,3,0.9999999999999998,-4.738569259608088e-06,-4.738569259643555e-06
14.235,-0.5214846929419062,-8.660808170735113e-05,-4.3099217972297765e-08,1.6647344517339846e-06,-0.0012083351612267076,3,0.9999999999999998,-4.738569259608088e-06,-4.738569259643555e-06
14.24,-0.5214851263322464,-8.66273088793168e-05,-3.5139568588249404e-08,1.6651089096431093e-06,-0.0012007355690180146,3,0.9999999999999998,-4.708766937221057e-06,-4.708766937255859e-06
14.245000000000001,-0.5214855597213413,-8.661718657476669e-05,-2.7303213911977764e-08,1.6251461890659513e-06,-0.0012045353651223614,3,0.9999999999999998,-4.723668098414574e-06,-4.723668098449707e-06
14.25,-0.5214859931182662,-8.662464416819837e-05,-1.9557284236526584e-08,1.6153235954385892e-06,-0.0012007355690180146,3,0.9999999999999998,-4.708766937221057e-06,-4.708766937255859e-06
14.255,-0.5214864264377049,-8.661845896384968e-05,-1.2009994332373708e-08,1.5888729417712355e-06,-0.001195035874861494,3,0.9999999999999998,-4.68641519543078e-06,-4.686415195465088e-06
14.26,-0.5214868596946405,-8.659176109493405e-05,-4.619783222636897e-09,1.5348426272154825e-06,-0.0012007355690180146,3,0.9999999999999998,-4.708766937221057e-06,-4.708766937255859e-06
14.265,-0.5214872929578069,-8.659098885244187e-05,2.7343047825922895e-09,1.5234697888777404e-06,-0.0012007355690180146,3,0.9999999999999998,-4.708766937221057e-06,-4.708766937255859e-06
14.27,-0.5214877261977514,-8.65920556929467e-05,1.002615590550704e-08,1.5192023233856489e-06,-0.0011969357729136676,3,0.9999999999999998,-4.693865776027539e-06,-4.693865776062012e-06
14.275,-0.5214881594254703,-8.657974853332195e-05,1.7290092912958244e-08,1.4988075928146216e-06,-0.0012007355690180146,3,0.9999999999999998,-4.708766937221057e-06,-4.708766937255859e-06
