trial,score,params_json,run_dir,pruned,failed,is_baseline,timestamp
67,190.80843569264346,"{""ent_coef"": 0.0026679405905640128, ""learning_rate"": 0.00032088054739768757, ""target_kl_code"": 3}",runs\search_ppo_t0067_20260722_183943,0,0,0,2026-07-22T16:40:28+00:00
68,158.11461425684902,"{""ent_coef"": 0.004261968538802983, ""learning_rate"": 0.00041796905515382467, ""target_kl_code"": 3}",runs\search_ppo_t0068_20260722_184028,0,0,0,2026-07-22T16:41:09+00:00
69,59.84618092670503,"{""ent_coef"": 0.008560388584320781, ""learning_rate"": 0.0003893826771822686, ""target_kl_code"": 3}",runs\search_ppo_t0069_20260722_184109,0,0,0,2026-07-22T16:41:46+00:00
70,51.194965677831746,"{""ent_coef"": 0.012892595265011795, ""learning_rate"": 0.00032082852755302747, ""target_kl_code"": 3}",runs\search_ppo_t0070_20260722_184146,0,0,0,2026-07-22T16:42:22+00:00
71,190.75557732331427,"{""ent_coef"": 0.005614685724557681, ""learning_rate"": 0.00017149198501552904, ""target_kl_code"": 3}",runs\search_ppo_t0071_20260722_184222,0,0,0,2026-07-22T16:43:03+00:00
72,25.086877897379622,"{""ent_coef"": 0.015309983474632593, ""learning_rate"": 0.00015807616938139966, ""target_kl_code"": 3}",runs\search_ppo_t0072_20260722_184303,0,0,0,2026-07-22T16:43:37+00:00
73,190.52533771767347,"{""ent_coef"": 0.009085094052164759, ""learning_rate"": 0.00029231561039491394, ""target_kl_code"": 3}",runs\search_ppo_t0073_20260722_184338,0,0,0,2026-07-22T16:44:18+00:00
74,190.7580615516054,"{""ent_coef"": 0.004070044290091512, ""learning_rate"": 0.00014152233048334302, ""target_kl_code"": 2}",runs\search_ppo_t0074_20260722_184418,0,0,0,2026-07-22T16:44:59+00:00
75,190.56229608701304,"{""ent_coef"": 0.0003014038233123129, ""learning_rate"": 0.0004886327824316004, ""target_kl_code"": 3}",runs\search_ppo_t0075_20260722_184459,0,0,0,2026-07-22T16:45:39+00:00
76,106.40894704877917,"{""ent_coef"": 0.0008072502637192565, ""learning_rate"": 0.0002733124885423556, ""target_kl_code"": 1}",runs\search_ppo_t0076_20260722_184539,0,0,0,2026-07-22T16:46:18+00:00
77,68.01000783316397,"{""ent_coef"": 0.006068260285632011, ""learning_rate"": 0.00013198909340596788, ""target_kl_code"": 3}",runs\search_ppo_t0077_20260722_184618,0,0,0,2026-07-22T16:46:53+00:00
78,106.3066607796043,"{""ent_coef"": 0.0013533137460988599, ""learning_rate"": 0.00019519738604416306, ""target_kl_code"": 0}",runs\search_ppo_t0078_20260722_184654,0,0,0,2026-07-22T16:47:32+00:00
79,158.32478915469176,"{""ent_coef"": 0.006967551048030705, ""learning_rate"": 0.00012120933994830037, ""target_kl_code"": 1}",runs\search_ppo_t0079_20260722_184732,0,0,0,2026-07-22T16:48:13+00:00
80,28.053125954526646,"{""ent_coef"": 0.0004254070832242619, ""learning_rate"": 0.0001534591545594421, ""target_kl_code"": 2}",runs\search_ppo_t0080_20260722_184813,0,0,0,2026-07-22T16:48:48+00:00
81,37.23038151571489,"{""ent_coef"": 0.01669349742813944, ""learning_rate"": 0.00022655480152610134, ""target_kl_code"": 0}",runs\search_ppo_t0081_20260722_184848,0,0,0,2026-07-22T16:49:24+00:00
82,28.96462198265961,"{""ent_coef"": 0.01199604552085279, ""learning_rate"": 0.0003493688628263413, ""target_kl_code"": 0}",runs\search_ppo_t0082_20260722_184924,0,0,0,2026-07-22T16:50:01+00:00
83,190.16789408675214,"{""ent_coef"": 0.018224497809076534, ""learning_rate"": 0.0003157481444230373, ""target_kl_code"": 0}",runs\search_ppo_t0083_20260722_185001,0,0,0,2026-07-22T16:50:44+00:00
84,190.7480974635484,"{""ent_coef"": 0.0005987341762467074, ""learning_rate"": 0.00029978693875361555, ""target_kl_code"": 0}",runs\search_ppo_t0084_20260722_185044,0,0,0,2026-07-22T16:51:25+00:00
85,190.85175928348306,"{""ent_coef"": 0.010317364802489628, ""learning_rate"": 0.0001760781818584475, ""target_kl_code"": 0}",runs\search_ppo_t0085_20260722_185125,0,0,0,2026-07-22T16:52:07+00:00
