time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,observer_blend,action_norm,policy_raw
0.765,1.1556068000602724,-1.283981432564582,1.4959904770467674,8.669565716453885,-127.66438262673466,1,0.0,-0.8510958841782311,-1.2601152658462524
0.77,1.1463173029836815,-1.412153407050113,1.5510913856950497,9.147539000683192,-127.53567853437423,1,0.0,-0.8502378568958282,-1.257010579109192
0.775,1.1368167009229921,-1.5235899091171288,1.6083498069641138,9.615699682926511,-126.45979904586524,1,0.0,-0.843065326972435,-1.2316778898239136
0.78,1.1272116095859253,-1.617722534872315,1.667737742645703,10.074695825648089,-122.88276921876995,1,0.0,-0.8192184614584663,-1.154436469078064
0.785,1.1176256137309046,-1.6935464680075805,1.7292392988767027,10.525418653315526,-117.22245065784728,1,0.0,-0.7814830043856485,-1.0491688251495361
0.79,1.1082025726345022,-1.7494596437567165,1.7928567939329483,10.969141801536631,-108.50851737853498,1,0.0,-0.7233901158568998,-0.9147202372550964
0.795,1.0991168247123966,-1.7832467876376716,1.8586202982439648,11.407731103964753,-95.9469738087106,1,0.0,-0.6396464920580707,-0.7575752139091492
0.8,1.0905823630099978,-1.7917224868335222,1.9266006108506382,11.843973543524392,-79.09191890073608,1,0.0,-0.5272794593382405,-0.5863694548606873
0.805,1.0828890628518386,-1.7705149502450928,1.9969406536179592,12.281995787976962,-52.384685031068656,1,0.0,-0.3492312335404577,-0.36456793546676636
0.81,1.0765022325344302,-1.712551220591789,2.0699399604598128,12.728498979348776,-4.652755369830578,1,0.0,-0.03101836913220385,-0.031028322875499725
0.8150000000000001,1.0720995324097584,-1.6037549313142723,2.1461277455698404,13.196339576604258,55.326957950272906,1,0.0,0.3688463863351527,0.3870871663093567
0.8200000000000001,1.0704355036915116,-1.4229512047192947,2.2262081978472654,13.706643937954576,106.50969866411572,1,0.0,0.7100646577607714,0.8873142600059509
0.8250000000000001,1.0721345910685003,-1.15041483945181,2.3108861669043304,14.284005567337182,132.05263431541925,1,0.0,0.8803508954361283,1.377325177192688
0.8300000000000001,1.0776221252946478,-0.7778567607394249,2.400752718264682,14.946902628356133,140.97191784007924,1,0.0,0.9398127856005283,1.7364434003829956
0.835,1.087204976384841,-0.3090158592472017,2.496304449411184,15.70350453928469,144.10261954151872,1,0.0,0.9606841302767914,1.9547102451324463
0.84,1.101113627924522,0.24738066007424714,2.5979465370221657,16.555214961788614,144.92734783538305,1,0.0,0.9661823189025537,2.031432628631592
0.845,1.1194690263251617,0.8809680720397195,2.705919677346042,17.49851560189054,145.50022761064466,1,0.0,0.9700015174042977,2.0923213958740234
0.85,1.14219158284039,1.5784959740617752,2.820146255938554,18.522543717611725,145.8502942648203,1,0.0,0.9723352950988019,2.1334080696105957
0.855,1.1688698498443408,2.319999806307755,2.9400110240671076,19.6032367178344,146.45545763947848,1,0.0,0.9763697175965231,2.2132439613342285
0.86,1.1986532332744757,3.0739132049283624,3.064175052592584,20.69566594480347,147.33399602544267,1,0.0,0.9822266401696178,2.357137680053711
0.865,1.2302708754944636,3.794604075203015,-3.0925862927825554,21.72995088487643,148.5045480169564,1,0.0,0.9900303201130426,2.6481783390045166
