trial,score,params_json,run_dir,pruned,failed,is_baseline,timestamp
32,-12.297109527250303,"{""exploration_decay"": 322925.61506891705, ""learning_rate"": 0.0004231349646013272, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0032_20260722_182153,0,0,0,2026-07-22T16:22:42+00:00
33,-13.169792854796142,"{""exploration_decay"": 393882.55914988415, ""learning_rate"": 0.0005297403276452367, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0033_20260722_182242,0,0,0,2026-07-22T16:23:32+00:00
34,-13.59869795531904,"{""exploration_decay"": 278047.30993053986, ""learning_rate"": 0.00042851401435825337, ""use_double_dqn"": 1}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0034_20260722_182332,0,0,0,2026-07-22T16:24:20+00:00
35,-13.021250982932262,"{""exploration_decay"": 232483.28556638202, ""learning_rate"": 0.0005950075768628916, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0035_20260722_182420,0,0,0,2026-07-22T16:25:08+00:00
36,-12.868401117252183,"{""exploration_decay"": 430189.4808055629, ""learning_rate"": 0.00030398254485039365, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0036_20260722_182508,0,0,0,2026-07-22T16:25:56+00:00
37,-12.0096213888223,"{""exploration_decay"": 212913.2546601554, ""learning_rate"": 0.0007912218405223238, ""use_double_dqn"": 1}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0037_20260722_182557,0,0,0,2026-07-22T16:26:45+00:00
38,-11.768701964969523,"{""exploration_decay"": 256596.9523027716, ""learning_rate"": 0.0004510396722234264, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0038_20260722_182645,0,0,0,2026-07-22T16:27:34+00:00
39,-14.571779300754507,"{""exploration_decay"": 237602.02297187533, ""learning_rate"": 0.0003662010021416574, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0039_20260722_182734,0,0,0,2026-07-22T16:28:22+00:00
40,-12.68651346994475,"{""exploration_decay"": 597517.0483122305, ""learning_rate"": 0.0006531434712117763, ""use_double_dqn"": 1}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0040_20260722_182822,0,0,0,2026-07-22T16:29:11+00:00
41,-14.962230001489626,"{""exploration_decay"": 208719.14539838684, ""learning_rate"": 0.00027609054857559754, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0041_20260722_182911,0,0,0,2026-07-22T16:29:59+00:00
42,-12.422119356779842,"{""exploration_decay"": 201758.1847348863, ""learning_rate"": 0.00030177346354974094, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0042_20260722_182959,0,0,0,2026-07-22T16:30:47+00:00
43,-13.92006974479439,"{""exploration_decay"": 201042.67473561515, ""learning_rate"": 0.00019113146275097774, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0043_20260722_183047,0,0,0,2026-07-22T16:31:36+00:00
44,-14.840833422918255,"{""exploration_decay"": 358478.8784610364, ""learning_rate"": 0.0005264757219121583, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0044_20260722_183136,0,0,0,2026-07-22T16:32:24+00:00
45,-13.057832447331409,"{""exploration_decay"": 220088.0999516129, ""learning_rate"": 0.00032685820650369616, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0045_20260722_183224,0,0,0,2026-07-22T16:33:12+00:00
46,-13.535579994132515,"{""exploration_decay"": 223539.35828051378, ""learning_rate"": 0.00037715019975700627, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0046_20260722_183312,0,0,0,2026-07-22T16:34:01+00:00
47,-14.914879725113696,"{""exploration_decay"": 245695.34229313466, ""learning_rate"": 0.00011361580511591329, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0047_20260722_183401,0,0,0,2026-07-22T16:34:49+00:00
48,-12.282493920284685,"{""exploration_decay"": 267934.1850538607, ""learning_rate"": 0.00028192742790175316, ""use_double_dqn"": 1}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0048_20260722_183449,0,0,0,2026-07-22T16:35:37+00:00
49,-11.049738760077823,"{""exploration_decay"": 284176.0160958888, ""learning_rate"": 0.0002175036948164991, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0049_20260722_183537,0,0,0,2026-07-22T16:36:26+00:00
