episode,global_step,stage_index,stage_name,level,epsilon,reward_total,reward_per_step,length,maintain_max_stable,stable_success,capture,mean_abs_alpha,mean_abs_alpha_dot,mean_abs_pwm
133,266000,1,nominal,0.0,0.2802623097655546,-16662.596685955523,-8.331298342977762,2000,0,0,0,1.970930101751845,8.872489259568626,113.52
134,268000,1,nominal,0.0,0.27759878741924016,-15595.521051279426,-7.7977605256397124,2000,0,0,0,1.914256455396421,8.887518184806092,114.93
135,270000,1,nominal,0.0,0.2749606689711291,-15885.585287735848,-7.942792643867924,2000,0,0,0,1.9258493761865674,9.023018162020868,113.76
136,272000,1,nominal,0.0,0.27234771212626,-15603.459554510462,-7.801729777255231,2000,0,0,0,1.9094313872991842,8.961556900222059,116.7
137,274000,1,nominal,0.0,0.2697596769006102,-16302.139174892249,-8.151069587446125,2000,0,0,0,1.9490661773160614,9.092805939411184,115.005
138,276000,1,nominal,0.0,0.2671963255990544,-15502.03013169681,-7.751015065848406,2000,0,0,0,1.9041458897615098,9.070635270835194,112.56
139,278000,1,nominal,0.0,0.264657422793534,-15327.350740639446,-7.663675370319723,2000,0,0,0,1.8951733895234806,9.055956402398566,115.08
140,280000,1,nominal,0.0,0.2621427353014345,-15387.404437103458,-7.693702218551729,2000,0,0,0,1.8963342947410216,9.255219036289335,112.545
141,282000,1,nominal,0.0,0.2596520321641691,-14752.18720568899,-7.376093602844495,2000,0,0,0,1.8624673315401337,9.253993400859658,111.81
142,284000,1,nominal,0.0,0.25718508462596656,-15466.892525621628,-7.733446262810814,2000,0,0,0,1.9009659073802874,9.133462877222012,112.44
143,286000,1,nominal,0.0,0.25474166611286125,-15179.173098773055,-7.589586549386528,2000,0,0,0,1.8858095441345224,9.28969192311303,111.66
144,288000,1,nominal,0.0,0.25232155221188385,-13843.482456864414,-6.921741228432207,2000,29,0,1,1.8122258996967917,8.957359610464058,111.465
145,290000,1,nominal,0.0,0.24992452065045065,-16218.493639594435,-8.109246819797217,2000,0,0,0,1.9475454389619873,8.98196881063355,114.93
146,292000,1,nominal,0.0,0.2475503512759486,-14976.22970033279,-7.4881148501663946,2000,0,0,0,1.8737439202949213,9.085261774363577,115.065
147,294000,1,nominal,0.0,0.24519882603551618,-13924.846883845608,-6.962423441922804,2000,0,0,0,1.8140881419156407,9.306214113832361,117.99
148,296000,1,nominal,0.0,0.24286972895601627,-14941.920831012536,-7.470960415506268,2000,0,0,0,1.8700698578989314,9.243969404268304,117.345
149,298000,1,nominal,0.0,0.24056284612420056,-13278.967646983765,-6.639483823491883,2000,37,0,1,1.7833135349884761,8.964686509001545,118.17
150,300000,1,nominal,0.0,0.23827796566706272,-8796.828541159464,-4.398414270579732,2000,23,0,1,1.520592699806295,10.55239020367705,124.785
151,302000,1,nominal,0.0,0.23601487773237928,-7033.380189284861,-3.516690094642431,2000,24,0,1,1.4249765180080578,10.497540035339611,120.84
152,304000,1,nominal,0.0,0.2337733744694361,-11516.59940805054,-5.75829970402527,2000,0,0,0,1.6782866016181905,9.399527076880393,120.735
153,306000,1,nominal,0.0,0.2315532500099383,-12716.06189147849,-6.358030945739245,2000,0,0,0,1.746860027618708,9.375831102810505,118.83
154,308000,1,nominal,0.0,0.22935430044910274,-12716.162873199326,-6.358081436599663,2000,0,0,0,1.7463729327913198,9.284460943240488,121.11
155,310000,1,nominal,0.0,0.22717632382693057,-10494.13227006191,-5.247066135030955,2000,94,0,1,1.626977723931483,9.103631258203281,121.995
156,312000,1,nominal,0.0,0.22501912010965835,-12383.398910408996,-6.191699455204498,2000,5,0,1,1.7238855522821797,9.392232801918619,121.335
157,314000,1,nominal,0.0,0.2228824911713863,-12965.258792975766,-6.482629396487884,2000,0,0,0,1.761449784423319,9.539679431547064,120.54
158,316000,1,nominal,0.0,0.22076624077588164,-12635.537242971594,-6.317768621485797,2000,0,0,0,1.7438853662469518,9.529574003387118,120.27
159,318000,1,nominal,0.0,0.2186701745585554,-12162.677415982387,-6.081338707991193,2000,0,0,0,1.7134366437587254,9.537910353833627,119.955
160,320000,1,nominal,0.0,0.2165941000086113,-12075.194862698008,-6.037597431349004,2000,0,0,0,1.7099439230940865,9.596423108413424,120.03
161,322000,1,nominal,0.0,0.21453782645136488,-12200.380256586493,-6.100190128293247,2000,0,0,0,1.7184841143893115,9.47382688420952,121.5
162,324000,1,nominal,0.0,0.21250116503073097,-12970.039190292518,-6.485019595146259,2000,0,0,0,1.761991846052072,9.270407488000874,120.03
163,326000,1,nominal,0.0,0.21048392869187874,-11725.487579389242,-5.862743789694621,2000,28,0,1,1.694296819987571,9.128908818212837,122.22
164,328000,1,nominal,0.0,0.2084859321640516,-11627.453023771146,-5.813726511885573,2000,10,0,1,1.6852070259617618,9.215999877646361,117.765
165,330000,1,nominal,0.0,0.20650699194355143,-13008.061370513346,-6.504030685256673,2000,0,0,0,1.7643027394368518,9.150558352931272,119.325
166,332000,1,nominal,0.0,0.20454692627688473,-11801.139684846723,-5.900569842423361,2000,23,0,1,1.6941579691020083,9.11131196581842,120.855
167,334000,1,nominal,0.0,0.2026055551440697,-11710.029897135355,-5.8550149485676775,2000,0,0,0,1.6899819578215904,9.334135886339059,124.62
168,336000,1,nominal,0.0,0.20068270024210255,-10876.447241065414,-5.438223620532707,2000,52,0,1,1.6417503038923684,8.756807657763225,123.135
169,338000,1,nominal,0.0,0.1987781849685816,-9517.515758737369,-4.758757879368685,2000,0,0,0,1.5492720108047044,9.019413448535948,125.835
170,340000,1,nominal,0.0,0.1968918344054871,-12244.109010585682,-6.122054505292841,2000,0,0,0,1.7191510342295258,9.238439889222777,125.7
171,342000,1,nominal,0.0,0.1950234753031164,-10930.696417957333,-5.465348208978667,2000,0,0,0,1.6374517857626456,9.404756492997645,121.86
