#{"t_start": 1784834034.9826732, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
1969.334915,266,58.17783
1831.667593,246,59.11408
2974.901919,390,59.965184
1456.205885,200,60.408071
1493.767828,204,60.843771
2528.885831,333,61.972815
2910.795382,383,62.817105
1915.496299,257,63.393661
2334.477831,309,64.470602
2222.0555,289,65.104734
2384.872978,318,65.795832
4211.941914,544,67.377134
2861.362684,380,68.206875
3090.300341,408,69.108366
5499.913868,692,71.009613
10936.855437,1396,74.856392
4756.756122,607,76.16407
24243.673782,3001,90.500135
24221.657879,3001,98.309484
24297.53777,3001,106.037249
24355.759531,3001,113.792089
24239.653034,3001,121.486611
24074.84451,3001,129.24396
24244.82903,3001,136.976918
23804.835879,3001,144.686787
23968.914225,3001,152.459018
23601.3195,3001,159.788785
24087.050677,3001,167.534751
23652.755766,3001,181.700975
23707.808491,3001,189.523263
24078.228615,3001,197.285432
22559.274892,3001,205.041077
23926.626851,3001,212.802067
23111.752435,3001,220.57572
24008.779175,3001,228.391491
23477.962541,3001,236.220676
23985.151584,3001,244.1244
23020.956235,3001,252.042079
23739.702082,3001,266.604047
23925.128604,3001,274.402913
24167.390355,3001,281.785712
23005.753139,3001,289.56277
24012.401676,3001,297.343635
23864.867948,3001,305.152162
22560.880526,3001,312.982967
23040.795864,3001,320.742484
23068.761302,3001,328.484235
23830.970544,3001,336.245805
23533.222196,3001,350.627149
23542.450552,3001,358.362511
18884.652354,2469,364.590018
23365.392329,3001,372.392565
22758.389939,3001,380.14045
23119.474047,3001,387.835675
23215.788684,3001,395.55307
23143.742606,3001,403.286637
23202.650597,3001,411.03549
23685.089068,3001,418.806609
23208.116456,3001,426.651712
23155.957934,3001,441.155672
23243.620182,3001,448.860345
7208.276835,940,450.902161
23308.541044,3001,458.645453
23198.477951,3001,466.468701
23245.960872,3001,474.311073
23147.897476,3001,482.243374
23472.559823,3001,490.087629
23411.148009,3001,497.964577
23302.873417,3001,505.824389
23385.663728,3001,513.656609
23274.284428,3001,528.233969
23271.510501,3001,536.100888
23141.633768,3001,544.028191
23316.076862,3001,551.852974
7077.700158,923,554.25093
23402.420887,3001,561.657702
23134.965436,3001,569.538217
23231.600111,3001,577.359138
23044.629405,3001,585.211254
23289.725323,3001,592.975327
23181.889118,3001,600.724858
23258.489991,3001,615.213109
23302.124317,3001,622.953861
23237.021647,3001,630.712696
23295.488213,3001,638.491147
23307.869421,3001,646.277098
4951.247792,659,647.717657
23266.261725,3001,655.471856
23229.979933,3001,663.218923
23285.093079,3001,670.951917
23231.609336,3001,678.714414
23309.105762,3001,686.467716
